 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.66666700e-02  0.00000000e+00  3.33333300e-02 
 1.66666667e-07  1.06629190e-02  1.66666667e-07  1.66666700e-02  1.66666667e-07  3.33333300e-02 
 1.80667291e-07  1.15586442e-02  1.80667291e-07  1.66666700e-02  1.80667291e-07  3.33333300e-02 
 2.08668540e-07  1.33500945e-02  2.08668540e-07  1.66666700e-02  2.08668540e-07  3.33333300e-02 
 2.64671039e-07  1.69329951e-02  2.64671039e-07  1.66666700e-02  2.64671039e-07  3.33333300e-02 
 3.76676035e-07  2.40987963e-02  3.76676035e-07  1.66666700e-02  3.76676035e-07  3.33333300e-02 
 6.00686028e-07  3.84303986e-02  6.00686028e-07  1.66666700e-02  6.00686028e-07  3.33333300e-02 
 1.04870601e-06  6.70936022e-02  1.04870601e-06  1.66666700e-02  1.04870601e-06  3.33333300e-02 
 1.94474598e-06  1.24420003e-01  1.94474598e-06  1.66666700e-02  1.94474598e-06  3.33333300e-02 
 3.73682593e-06  2.39072755e-01  3.73682593e-06  1.66666700e-02  3.73682593e-06  3.33333300e-02 
 7.32098581e-06  4.68377880e-01  7.32098581e-06  1.66666700e-02  7.32098581e-06  3.33333300e-02 
 1.44893056e-05  9.26985146e-01  1.44893056e-05  1.66666700e-02  1.44893056e-05  3.33333300e-02 
 2.88259451e-05  1.84417602e+00  2.88259451e-05  1.66666700e-02  2.88259451e-05  3.33333300e-02 
 4.54926118e-05  2.91036154e+00  4.54926118e-05  1.66666700e-02  4.54926118e-05  3.33333300e-02 
 6.21592785e-05  3.97643217e+00  6.21592785e-05  1.66666700e-02  6.21592785e-05  3.33333300e-02 
 7.88259451e-05  5.04234582e+00  7.88259451e-05  1.66666700e-02  7.88259451e-05  3.33333300e-02 
 9.54926118e-05  6.10806041e+00  9.54926118e-05  1.66666700e-02  9.54926118e-05  3.33333300e-02 
 1.12159278e-04  7.17353386e+00  1.12159278e-04  1.66666700e-02  1.12159278e-04  3.33333300e-02 
 1.28825945e-04  8.23872410e+00  1.28825945e-04  1.66666700e-02  1.28825945e-04  3.33333300e-02 
 1.45492612e-04  9.30358910e+00  1.45492612e-04  1.66666700e-02  1.45492612e-04  3.33333300e-02 
 1.62159278e-04  1.03680868e+01  1.62159278e-04  1.66666700e-02  1.62159278e-04  3.33333300e-02 
 1.78825945e-04  1.14321752e+01  1.78825945e-04  1.66666700e-02  1.78825945e-04  3.33333300e-02 
 1.95492612e-04  1.24958123e+01  1.95492612e-04  1.66666700e-02  1.95492612e-04  3.33333300e-02 
